Plant Abbr,Month,Day,Year,PMMoV_gc_g_dry_weight,PMMoV_gc_g_dry_weight_UCI,PMMoV_gc_g_dry_weight_LCI,BCoV_Recovery,BCoV_Recovery_UCI,BCoV_Recovery_LCI,N_Gene_gc_g_dry_weight,N_Gene_gc_g_dry_weight_UCI,N_Gene_gc_g_dry_weight_LCI,S_Gene_gc_g_dry_weight,S_Gene_gc_g_dry_weight_UCI,S_Gene_gc_g_dry_weight_LCI,ORF1a_gc_g_dry_weight,ORF1a_gc_g_dry_weight_UCI,ORF1a_gc_g_dry_weight_LCI,HV_6970_Del_gc_g_dry_weight,HV_6970_Del_gc_g_dry_weight_UCI,HV_6970_Del_gc_g_dry_weight_LCI,Delta_156157_gc_g_dry_weight,Delta_156157_gc_g_dry_weight_UCI,Delta_156157_gc_g_dry_weight_LCI,Del_143145_gc_g_dry_weight,Del_143145_gc_g_dry_weight_UCI,Del_143145_gc_g_dry_weight_LCI,Influenza_A_gc_g_dry_weight,Influenza_A_gc_g_dry_weight_UCI,Influenza_A_gc_g_dry_weight_LCI,Influenza_B_gc_g_dry_weight,Influenza_B_gc_g_dry_weight_UCI,Influenza_B_gc_g_dry_weight_LCI,RSV_gc_g_dry_weight,RSV_gc_g_dry_weight_UCI,RSV_gc_g_dry_weight_LCI,BA_2_LPPA24S_gc_g_dry_weight,BA_2_LPPA24S_gc_g_dry_weight_UCI,BA_2_LPPA24S_gc_g_dry_weight_LCI,BA_2_75_S_147E_S_152R_gc_g_dry_weight,BA_2_75_S_147E_S_152R_gc_g_dry_weight_UCI,BA_2_75_S_147E_S_152R_gc_g_dry_weight_LCI,BA_4_ORF1a_Del_141143_gc_g_dry_weight,BA_4_ORF1a_Del_141143_gc_g_dry_weight_UCI,BA_4_ORF1a_Del_141143_gc_g_dry_weight_LCI,HMPV_4_gc_g_dry_weight,HMPV_4_gc_g_dry_weight_UCI,HMPV_4_gc_g_dry_weight_LCI,MPXV_G2R_G_gc_g_dry_weight,MPXV_G2R_G_gc_g_dry_weight_UCI,MPXV_G2R_G_gc_g_dry_weight_LCI,MPXV_G2R_WA_gc_g_dry_weight,MPXV_G2R_WA_gc_g_dry_weight_UCI,MPXV_G2R_WA_gc_g_dry_weight_LCI,Noro_G2_gc_g_dry_weight,Noro_G2_gc_g_dry_weight_UCI,Noro_G2_gc_g_dry_weight_LCI
SJ,11,30,2020,1202195021,1308955528,1176591348,0.639,0.674,0.609,272223.3301,287657.5075,256723.3601,320025.5866,330386.8962,309662.8738,291867.0041,304356.301,280435.9349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,11,30,2020,400236500.3,505948583.9,375377362.1,0.263,0.321,0.221,46003.05793,51850.3478,40365.8654,46003.05793,53380.17803,38665.1646,33356.92928,38444.65566,27693.41219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,11,30,2020,724265520.2,787657971.1,678918073.6,0.733,0.802,0.668,76086.71663,86409.9086,64248.68062,111082.5813,132015.6083,92475.9715,70838.0732,82306.03974,61502.40551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,11,30,2020,313143369.6,369796744.8,291452876.4,0.241,0.273,0.216,74698.29912,86512.73844,64658.84952,65977.97508,77716.96452,55788.40164,67535.06796,73494.03144,61839.54564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,12,1,2020,264482717.8,354850889.3,232053518.6,0.274,0.342,0.22,46510.52302,52518.23772,34951.0005,55980.98581,62819.17022,44093.75335,31689.71611,35423.44859,26276.61373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,12,1,2020,289798362.8,347489256.7,227437828.8,0.29,0.371,0.204,92261.76456,108477.1722,71741.42416,108879.6185,127347.9761,82634.36473,76108.66368,89570.62792,58204.31806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,12,1,2020,840805077.7,1001524228,812669692.7,0.386,0.429,0.344,176496.9305,189538.7472,162942.6264,220071.8312,236674.238,203998.6634,188533.6234,201593.6024,176016.1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,12,1,2020,305109600.6,456648827,290936269.7,0.217,0.28,0.169,46509.93047,59445.68904,34077.81956,52116.48916,64234.20544,39589.89442,42866.00348,53492.63869,32481.46138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,12,1,2020,1707431485,1786163040,1643422000,1.051,1.094,0.999,214016.0969,227289.3966,199965.144,223901.1583,246814.97,197260.9324,227196.3452,242707.1162,210541.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,12,1,2020,266063611.4,291488228.5,248980257.8,0.47,0.517,0.417,254234.9082,269881.7426,239188.0468,275129.3083,292254.5183,256864.1258,213577.8251,231144.2406,195036.9386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,12,2,2020,622233573.7,856337139.5,592638513.2,0.539,0.633,0.454,75512.69857,86683.96615,66449.10013,96721.99152,112390.7057,82707.52735,65351.89376,79247.85778,53410.43635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,12,2,2020,841079508.5,1129314304,838587850,0.376,0.431,0.325,190518.8296,214156.1905,167533.6493,262244.8338,300350.7985,228494.7502,200813.108,228451.146,176335.0434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,12,2,2020,237341703.1,304226937.7,202932061.4,0.128,0.15,0.1,30105.6991,34304.30094,25480.04828,37406.53825,43839.09511,29196.21863,24934.85752,29650.83948,17853.3468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,12,2,2020,3585423083,4054538798,3471620622,0.671,0.73,0.611,174197.3582,192770.2162,155921.9176,214902.2236,229875.7765,199929.8869,158544.0704,171404.1337,142968.1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,12,2,2020,140801671.3,190170567.8,116390291.8,0.143,0.179,0.108,30344.1907,36219.3957,24105.60349,40654.03838,51590.4526,29173.2351,30344.1907,35493.91031,24548.05126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
